tweet:text,tweet:id,account:id,account:name,account:created_at,account:verified,tweet:retweets_count,tweet:favorites_count,account:followers_count,account:friends_count,account:listed_count,account:user_favorites,account:user_statuses,account:default_profile,account:default_profile_image,tweet:datetime,tweet:is_reply,tweet:is_quote
"De las cosas que más me gustan de ese hombre, es su sonrisa ☺️ cada vez que me sonríe me vuelve loca.",920844841948467200,217296970,TanyGC,Fri Nov 19 03:30:01 +0000 2010,0,0,0,164,76,6,3958,11257,0,0,2017-10-19 02:51:33+00:00,0,0
Y la gente marica que borra los tuits para que no les carguen carrilla 🙄,917493766025392129,336320708,dann_bill,Sat Jul 16 03:10:22 +0000 2011,0,0,3,30,92,1,178,3026,0,0,2017-10-09 20:55:34+00:00,1,0
@USUARIO  @USUARIO  Si que HDP mira que arrestar a una hermana rebolucionaria que estava defendiendo derecho  de las mugeres!!! Apaga telebiza donvixpeñavot,922609522136449024,56829588,KrlitoBrigante,Tue Jul 14 21:56:03 +0000 2009,0,0,1,7881,2287,71,97711,106208,0,0,2017-10-23 23:43:45+00:00,1,0
"@USUARIO @USUARIO Claro que no les conviene, llevan su tajada éstos ladrónes HDP, son una vergüenza la sociedad los repudia, parásitos!!",921552109362757633,1906523684,AcevesBahena,Thu Sep 26 03:59:26 +0000 2013,0,0,0,27,49,0,5214,2882,1,0,2017-10-21 01:41:59+00:00,1,0
"Ya ni en Twitter te dejan mamar agusto, pinche sociedad sensible y marica.",909994288574058496,624872254,BurrosDelApa,Mon Jul 02 18:00:19 +0000 2012,0,64,132,25625,159,31,1856,11838,0,0,2017-09-19 04:15:19+00:00,0,0
Cadena de oración para que pase algo que quiero que pase y me daría el chance de dejar este fucking trabajo que ya me tiene hasta la verga.,905249169408974848,1722583052,Metaforastero,Mon Sep 02 14:57:37 +0000 2013,0,0,4,669,476,7,9527,12327,0,0,2017-09-06 01:59:55+00:00,0,0
Cuando tus tíos no te eligen en ningún equipo de fútbol porque saben que eres joto 😂😂😂👑,920851681549717504,267403764,isaiTinal,Wed Mar 16 22:09:12 +0000 2011,0,0,0,767,624,4,15308,8658,0,0,2017-10-19 03:18:44+00:00,0,0
"A quien se lo esta llevando la chingada la uni? Sip, a todos menos a mi putas",917858684365103105,2523174804,Heartstormydown,Sun May 25 18:01:58 +0000 2014,0,0,0,9,136,0,407,227,0,0,2017-10-10 21:05:37+00:00,0,0
"Chinga tu madre puto hambreado igual que todos los putos políticos, y tú más además de gato lamehuevos",917087113484603392,68543356,jeric_mainman,Mon Aug 24 23:29:48 +0000 2009,0,0,0,30,117,0,535,1704,0,0,2017-10-08 17:59:41+00:00,1,0
"Mi madre no deja de decir que se va acabar el mundo en dos semanas, me mete miedo😕",905263218209300482,3299733426,belen2valerio,Tue Jul 28 18:39:22 +0000 2015,0,0,0,158,546,4,10445,5546,0,0,2017-09-06 02:55:44+00:00,0,0
 @USUARIO @USUARIO Cada ofensa tuya me hace más fuerte jajajajaja ya chingas a tu madre tu y @USUARIO  y el pejezombie mayor de @USUARIO ya a chingar a su madre los tres orale,928071352468295680,910574643781582850,nava_serge,Wed Sep 20 18:41:27 +0000 2017,0,0,0,164,658,0,346,1247,1,0,2017-11-08 01:27:07+00:00,1,0
Todas las rolas de sam smith son iguales. Igual me sigue mamando.,926645438081634304,549586936,whitebirdblack,Mon Apr 09 22:08:29 +0000 2012,0,0,1,5757,576,29,43605,9015,0,0,2017-11-04 03:01:03+00:00,0,0
"Jajajaja, nooo, la gorda que le surtía la droga a Lupita",909626617734893568,127491005,icaza_alvarez,Mon Mar 29 11:13:07 +0000 2010,0,0,3,446,570,2,7701,20039,0,0,2017-09-18 03:54:20+00:00,1,0
Estas para dejarte bien rosada tu panochita d tanto cojerte y mamar tus tetas,927186615998603264,842578984831467521,Antonio68259591,Fri Mar 17 03:30:59 +0000 2017,0,0,1,36,293,0,343,597,1,0,2017-11-05 14:51:30+00:00,1,0
Me agarré puente desde el jueves pero ahorita estoy mamando con tareas  😥,927395203434143744,743770382,Riveralazos,Tue Aug 07 21:23:39 +0000 2012,0,0,0,422,342,1,1281,4794,0,0,2017-11-06 04:40:21+00:00,0,0
¿qué putas pasa en Cuerna que no hay corneta? 😡😡😡😡😡,915297583064539136,93313360,mandohp,Sun Nov 29 03:11:25 +0000 2009,0,0,0,411,519,0,187,525,0,0,2017-10-03 19:28:43+00:00,1,0
"Pues no sé ustedes pero con 30,000 pesos te alcanza para un par de putas y muchos Captain Morgan, no sé qué se quejan.",917599855916343297,2225449775,Armandoestones,Sat Dec 14 15:40:47 +0000 2013,0,0,0,1014,482,1,17678,20278,0,0,2017-10-10 03:57:08+00:00,0,0
"Gigante solo uno, putos. Para que sigan mamando con su 2-0. Fuck off gringos.",917933349083246597,447365952,_LuisArreola,Mon Dec 26 20:19:42 +0000 2011,0,0,0,549,78,9,2347,11050,0,0,2017-10-11 02:02:19+00:00,1,0
Le ha de gustar decir V Word para quedarse con la verga en la boca.,905279052046618624,60800418,SirCafeina,Tue Jul 28 03:40:02 +0000 2009,0,0,1,2594,1560,17,145078,104629,0,0,2017-09-06 03:58:39+00:00,0,0
@USUARIO @USUARIO Yo tp. Madre mía,1196890922740539392,1119948394326306816,canyaman_fans,Sun Apr 21 12:57:59 +0000 2019,0,0,4,4371,2211,1,46950,50944,0,0,2019-11-19 20:40:07+00:00,1,0
Cc eres el más vale verga del salón y corriges al profesor,905296233329299456,2292217758,HaretS11,Wed Jan 15 05:46:58 +0000 2014,0,0,0,618,644,3,37051,21254,1,0,2017-09-06 05:06:56+00:00,0,0
Cc te pones a tuitear para que se te pase el famosisimo fenómeno llamado cama loca 🤕🤢😬 aiuda,919500979174719488,614795325,Jeess_LS,Fri Jun 22 00:49:43 +0000 2012,0,0,3,132,181,0,263,1005,0,0,2017-10-15 09:51:31+00:00,0,0
Siempre que regreso de coatepeque regreso más gorda jajajaja 😂😂,909559659975069698,1491638504,rlolurdes,Sat Jun 08 00:50:18 +0000 2013,0,0,3,1132,139,1,5276,31075,0,0,2017-09-17 23:28:16+00:00,0,0
"Hombres que sólo le hablan bonito a las mujeres por mensaje y en persona ni madres,  ¿se les cayó un huevo, o que pedo?",928277431030599680,367995396,MitziAbigail,Sun Sep 04 22:29:02 +0000 2011,0,1,1,249,495,3,2446,6902,0,0,2017-11-08 15:06:00+00:00,0,0
Jajajajajaja ! Pinches gringos putos se van a la chingada con todo y Trump,917931796662276097,84738618,CISKOOL,Sat Oct 24 01:37:58 +0000 2009,0,0,0,1013,399,6,14706,29771,0,0,2017-10-11 01:56:09+00:00,0,0
@USUARIO Pero te van a quedar marcas feas,327970514486304769,350697406,mczouis,Mon Aug 08 05:20:28 +0000 2011,0,0,0,580,410,3,1034,50373,0,0,2013-04-27 02:20:38+00:00,0,0
Pero que tal la.mediocridad de argentina? Esa te tiene exitado pinche joto renegado,917905036436533249,113187495,salumanuar,Thu Feb 11 00:29:11 +0000 2010,0,0,0,51,61,0,318,2047,1,0,2017-10-11 00:09:49+00:00,1,0
"O sea no me estoy pasando de gorda, me estoy pasando de verga 😾",909229984673185793,160263811,LuuOss,Sun Jun 27 17:41:18 +0000 2010,0,0,0,447,217,6,6062,11815,0,0,2017-09-17 01:38:15+00:00,0,0
La primera regla es: no le creas nada a esos putos religiosos doble moral. ¡Nada!,916777411420868608,347512634,donvanchipotin,Tue Aug 02 22:32:37 +0000 2011,0,0,1,1354,569,25,190837,61030,0,0,2017-10-07 21:29:02+00:00,0,1
Para q habla? si luego sale pidiendo disculpas el muy maricon,920640325969776642,828327272335626242,alexjefedejefes,Sun Feb 05 19:39:46 +0000 2017,0,0,0,8,75,0,98,2813,1,0,2017-10-18 13:18:53+00:00,1,0
"Sólo a las PUTAS MOCOSAS GORDAS Y feas les gusta ese aleman xdxd Si a mi me das un puto perro asco, imagínate el... <URL>",908141884458991616,718188648718422016,brisa_roman_06,Thu Apr 07 21:28:11 +0000 2016,0,0,0,300,586,0,194,8547,1,0,2017-09-14 01:34:32+00:00,0,0
Las putas primero dan las nalgas y después el corazón. • Punto para las putas.,1134164764060397568,798397597,TomJorc,Sun Sep 02 14:41:22 +0000 2012,0,0,0,304,79,2,29745,4649,0,0,2019-05-30 18:28:46+00:00,0,0
Vergüenza debería darles putos hondureños. Ojalá Australia los deje fuera del mundial,917931989054951426,197671100,Javier_ValdesMX,Sat Oct 02 03:49:36 +0000 2010,0,0,0,415,380,7,7567,50478,0,0,2017-10-11 01:56:55+00:00,0,0
Ya no va Holanda al mundial 😂 ¡Karma putos! #NoEraPenal,917912923376443393,2313984289,ElBatmanZavala,Mon Jan 27 17:02:44 +0000 2014,0,0,0,96,150,1,2226,5329,1,0,2017-10-11 00:41:09+00:00,0,0
"A mi ya me mató desde hace 2 años en Cd. Carmen con sus putas reformas, ahora tengo que hablar inglés en mi propio país para trabajar !",914859631226241024,772138707252109312,AMarcostafuera,Sat Sep 03 18:26:28 +0000 2016,0,0,0,4,33,0,11,47,1,0,2017-10-02 14:28:28+00:00,1,0
 @USUARIO UN P.A.R.A.S.I.T.O.   EN TODA LA.EXTENSION DE LA PALABRA..UN VIVIDOR HDP...,921845165450444801,245914460,blackraven2011,Tue Feb 01 18:50:38 +0000 2011,0,0,0,274,279,3,1451,8598,0,0,2017-10-21 21:06:29+00:00,1,0
" @USUARIO Pinche viejo puerco, cerdo, marrano, HDSPM, HDP. Que se vaya ALV y después a chingar a su madre. Ojalá que lo castren. Alguien sabe su @???",921033743942512640,912840113662685184,RAMMS009,Wed Sep 27 00:43:37 +0000 2017,0,0,0,344,180,0,13,7317,1,0,2017-10-19 15:22:11+00:00,1,0
"Mis weyes ya van a los Grammys putos... 👌 *A huevo puto!*(es de una EXO-L,ALV :v...)",917539987960168449,894336405979004928,Valeria45983942,Sun Aug 06 23:16:29 +0000 2017,0,0,0,25,99,0,1496,662,1,0,2017-10-09 23:59:14+00:00,1,0
"Ojalá pierdan en el repechaje, pinches hondureños putos y corrientes.",917931750789173249,176216543,elJoJoseC,Sun Aug 08 22:46:26 +0000 2010,0,0,2,967,722,13,67040,49857,0,0,2017-10-11 01:55:58+00:00,0,0
Weeeey que pedo con esta rola esta muy cabrona <URL>,904949559620718593,2533920432,coriacido,Fri May 30 02:33:31 +0000 2014,0,0,2,2602,44,2,2463,2191,0,0,2017-09-05 06:09:22+00:00,0,0
@USUARIO Subele a esa madre wujiju 😂,905258963020722176,899136529842524161,Christopsitasss,Sun Aug 20 05:10:28 +0000 2017,0,0,0,4,60,0,98,53,1,0,2017-09-06 02:38:50+00:00,1,0
Los huesos pal perro mi amor😌💅 ,1037335691892539393,194774643,DiMauro14,Fri Sep 24 23:37:59 +0000 2010,0,1,16,11589,11361,38,52767,16198,0,0,2018-09-05 13:44:36+00:00,0,0
"@USUARIO Es una lastima, algunas mujeres no nos gusta maquillarnos y ello no implica que seamos tontas.",908961956962463744,135031458,pumita1987,Tue Apr 20 04:17:14 +0000 2010,0,0,0,47,194,0,917,866,0,0,2017-09-16 07:53:12+00:00,1,0
Necesito ponerme pedo más seguido. Hoy ya me andaba meando con dos gomichelas de joto.,919074592760782849,579475055,ivano_ano_,Mon May 14 02:32:38 +0000 2012,0,0,2,129,57,0,3501,736,0,0,2017-10-14 05:37:13+00:00,0,0
Tu carita bien bonita // yo toda pendeja por creer que podíamos tener algo,923519281089929217,18106781,Oochami,Sat Dec 13 23:07:55 +0000 2008,0,0,1,874,1210,40,18886,103226,0,0,2017-10-26 11:58:49+00:00,0,0
Nada más feo q esperar como tonta todo el fin de para estar como tonta haciendo nd ,909557567130451968,885282347318366208,damaris_anai,Wed Jul 12 23:38:54 +0000 2017,0,0,0,191,290,0,1649,2396,1,0,2017-09-17 23:19:57+00:00,0,0
Desde acá arriba se puede ver lo mucho que te valgo verga.,905195101420265472,112840669,Mr_MikeBS,Tue Feb 09 21:52:28 +0000 2010,0,0,0,269,21,16,2083,12950,0,0,2017-09-05 22:25:04+00:00,0,1
Y así de loca es la idea de tenerte y no tenerte 🤷🏻‍♀️,920121041023676416,2233578303,karenmelesio,Thu Dec 19 18:35:25 +0000 2013,0,0,0,249,101,0,894,5037,1,0,2017-10-17 02:55:25+00:00,0,0
"@USUARIO Ay tú, pinchi esposa luchona ofendida. Era recomendación, haz lo que tú gana de te. Pos este 😠",907434034636222464,127109356,LilLaraO,Sun Mar 28 02:48:54 +0000 2010,0,0,1,1581,562,15,16399,32830,0,0,2017-09-12 02:41:47+00:00,1,0
"Soy partidario de buscar una mejor redacción con tal de usar el más hermoso y completo ""a la verga"".",905456016598425600,9952252,LuisExMachina,Mon Nov 05 01:12:17 +0000 2007,0,0,1,9154,90,270,13285,238111,0,0,2017-09-06 15:41:51+00:00,1,0
Pasenme el twitter del arbitro pa mandarlo a chingar a su madre hdp!!,922282604740710401,95043215,Mariodeleonn,Sun Dec 06 18:06:47 +0000 2009,0,0,0,9055,359,16,1576,92801,0,0,2017-10-23 02:04:42+00:00,0,0
"A una mujer que le han pedido que deje en paz a un hombre porque es casado ya le vale verga todo, matar o morir dice dice su…",905597076075159552,449365577,gasparmarcucci,Thu Dec 29 01:42:30 +0000 2011,0,0,0,404,322,3,850,67894,1,0,2017-09-07 01:02:22+00:00,0,0
Cero basico cuando veas 2 putas personas con playera de dinosaurios me dejare que me digas basica por toda mi vida,917178711438495744,722252064768679936,Estradios99,Tue Apr 19 02:34:45 +0000 2016,0,0,1,188,113,0,2705,2139,0,0,2017-10-09 00:03:39+00:00,1,0
B.A.P are back! Ya los extrañaba hijos de su madre! :'),905309465779548160,1138713882,Monse17v,Fri Feb 01 04:44:48 +0000 2013,0,0,0,166,171,0,2573,3252,1,0,2017-09-06 05:59:31+00:00,0,0
Hay pinche viejito reumatico mal cogido  ... no lo mando a la verga nomas por que es mi jefe  🤦🏻‍♂😡😡😤,905151804433981441,250399952,rebeldesexxx,Fri Feb 11 01:02:52 +0000 2011,0,0,2,9419,1087,41,52286,29309,1,0,2017-09-05 19:33:01+00:00,0,0
así de cabrona está la realidad que vivo/percibo desde mi posición de mundo. Si hubiera seguido con mis clases de la Biblia esto no pasaría,904684693844582401,2542025521,melamilagrosa,Mon Jun 02 19:07:04 +0000 2014,0,0,0,197,1593,8,2808,8967,0,0,2017-09-04 12:36:53+00:00,1,0
"Si #TeMandoMensajePara que me contestes, no para que me dejes en visto HDP!!!!",920439677701652480,104998930,Drama_andi,Fri Jan 15 01:36:57 +0000 2010,0,0,1,1628,1467,0,21439,49108,0,0,2017-10-18 00:01:34+00:00,0,0
"estaba revisando mis dms y encontré todos estos, ahre que me pasaba estaba loca",920461738717405184,946853888,baIdwingoddess,Wed Nov 14 01:31:38 +0000 2012,0,0,0,9579,8011,50,63564,58402,0,0,2017-10-18 01:29:14+00:00,0,0
"De nada putos, nosotros si vamos al mundial @USUARIO",917941750743949313,3110881158,miguedelreal,Fri Mar 27 18:01:05 +0000 2015,0,0,0,303,242,0,29280,10787,0,0,2017-10-11 02:35:42+00:00,0,0
Esas pinches relaciones de ahora pura política .. no mames si no vamos para primeras damas mándelo a chingar a su madre al Pendejo,905305499217920000,241836703,mayi87robles,Sun Jan 23 07:38:12 +0000 2011,0,0,1,254,499,0,269,3087,0,0,2017-09-06 05:43:45+00:00,0,0
Esta gorda es una basura,1231259113021231104,1185549378968281088,Musaliana1,Sat Oct 19 13:34:37 +0000 2019,0,0,3,102,494,0,8130,2567,1,0,2020-02-22 16:47:02+00:00,1,0
"Qué asco de mujer, gorda",1238207469329006598,1213881898813947905,jazvimtz,Sun Jan 05 17:56:22 +0000 2020,0,0,1,14,42,0,302,450,1,0,2020-03-12 20:57:20+00:00,1,0
Tengo a la mejor madre del mundo.,1238093060099256321,834476294800867330,paulaviilchez,Wed Feb 22 18:53:47 +0000 2017,0,0,0,157,133,0,870,1768,1,0,2020-03-12 13:22:42+00:00,0,0
aaaaaaa putas alergias no puedo respirar ogala así siga y me muera asfixiado,918124560389636097,890019389122150400,WESTCOASTH0E,Wed Jul 26 01:22:12 +0000 2017,0,2,8,1964,353,12,31566,8757,1,0,2017-10-11 14:42:07+00:00,0,0
" @USUARIO Lo dudó, son sus amigos del marica @USUARIO. Y los que dieron domicilio falso, los van a buscar en la sección amarilla? 🤔🤔🤔",917570581322661888,717237163,toww1,Thu Jul 26 02:39:17 +0000 2012,0,0,0,110,428,0,7291,7621,1,0,2017-10-10 02:00:48+00:00,1,0
"Me caga tener que salirme de un lugar para fumar porque hay niños en el lugar, porque putas ellos no dejan al niño afuera 😑",914651554820624385,1216978224,Otto_RuzPalacio,Mon Feb 25 01:40:10 +0000 2013,0,0,1,390,334,1,13081,12767,0,0,2017-10-02 00:41:38+00:00,0,0
Polanco debería tener un horario para que las feas circularan por sus calles. Algo así como la tarjeta de Ecobici.,908366076454547457,872126988659699712,CrashTestBobby,Tue Jun 06 16:24:12 +0000 2017,0,0,0,1372,2192,6,47577,35193,1,0,2017-09-14 16:25:23+00:00,0,0
Voy a definir lo que pienso sobre los que critican a Messi y le tiran 💩: la Cdtm hijos de los 7897 putos  sistemas solares que los parió.,917972228263772165,142426199,Hugoresiliencia,Mon May 10 21:26:38 +0000 2010,0,0,0,460,160,0,4012,6297,0,0,2017-10-11 04:36:48+00:00,0,0
Me gustan las eliminatorias de la CONMEBOL porque parecen campales a putaso limpio donde no sabes quién ganará ni quien va a valer verga.,905249966544658432,589780211,SirArminDice,Fri May 25 07:27:51 +0000 2012,0,0,0,224,153,0,4640,22954,0,0,2017-09-06 02:03:05+00:00,0,0
#CosasQueSonRománticas es mandarte a la chingada por no decirme dónde andas. 💅,926643617476644864,865688189327073280,vanessa_servinn,Fri May 19 21:58:42 +0000 2017,0,0,1,20,59,0,208,148,0,0,2017-11-04 02:53:49+00:00,0,0
"En honor a la Madre Teresa de Calcuta, el Día Internacional de la Beneficencia se conmemora #UnDíaComoHoy.",905037837782921221,50626996,UNAM_MX,Thu Jun 25 12:07:23 +0000 2009,1,93,119,3175771,555,4614,7472,69342,0,0,2017-09-05 12:00:09+00:00,0,0
Pinche joto @USUARIO ya te volviste a lesionar mariquita.,920858505732640769,136883613,Veneno_TM,Sun Apr 25 05:14:09 +0000 2010,0,0,0,1036,876,8,27316,63517,0,0,2017-10-19 03:45:51+00:00,0,0
Apenas va un mes del semestre y ya estoy hasta la madre 😩,905439079323627521,168860364,Patoms_,Tue Jul 20 23:50:00 +0000 2010,0,2,10,3806,671,25,13281,69691,0,0,2017-09-06 14:34:33+00:00,0,0
A la verga es horrible sentirse entre la espada y la pared ¿Que se hacen en estos casos...? Lo indebido o lo correcto 😒😒,919496205989793793,88143494,reporterosenmov,Sat Nov 07 08:10:03 +0000 2009,0,0,0,10036,1056,155,86,105646,0,0,2017-10-15 09:32:33+00:00,0,0
"Ya son cuarto para la una, ¿A qué hora me vas hacer caso cabrona?",905124503046561792,83225793,_iblackdiamond,Sat Oct 17 21:33:56 +0000 2009,0,2,4,26116,3541,36,346,18198,0,0,2017-09-05 17:44:32+00:00,0,0
Llegué tarde a Twitter para entender el pedo de la V word... Y me vale verga.,905290850682494976,979828896,RealKarimP,Fri Nov 30 05:48:54 +0000 2012,0,0,2,724,842,4,17257,7327,0,0,2017-09-06 04:45:32+00:00,0,0
